Pointing RA(Hrs Min Sec),Pointing Dec(Deg Min Sec),pos_x(Km),pos_y(Km),pos_z(Km),vel_x(Km/s),vel_y(Km/s),vel_z(Km/s),DateTime,Spacecraft Roll(Deg),quat0,quat1,quat2,quat3
22 46 51.5,-6 23 16.7,4036.43790568322,-4465.83465052332,3877.345027595,1.69766003547684,-3.84331127927019,-6.16343920911499,2017-10-11T08:13:00.054,-42.87153,-0.3520217538,0.1091416255,-0.1275777221,0.9208109009
22 46 55.9,-6 18 46.7,4201.68098871469,-4874.17613692321,3141.93814580594,1.18320426093166,-3.26079119312502,-6.60334885981004,2017-10-11T08:14:55.054,-42.86958,-0.3521352708,0.108475022,-0.127669096,0.920833602
22 47 0.4,-6 14 12.0,4306.68311723321,-5212.63681884105,2361.36824893875,0.652192188078465,-2.63193855734312,-6.9486011653,2017-10-11T08:16:50.054,-42.86766,-0.3522486091,0.1078083739,-0.1277603954,0.9208558809
22 47 5.2,-6 09 34.9,4349.92668432135,-5476.34759518832,1546.84790707062,0.11043182882347,-1.96376439366447,-7.19467662722,2017-10-11T08:18:45.054,-42.86576,-0.3523617983,0.1071416661,-0.1278516501,0.9208777237
22 46 58.7,-5 34 33.1,3015.44905093793,-5086.31440858866,-4043.22157875087,-3.26336047752116,2.87228147538884,-6.05600583434012,2017-10-11T08:32:00.054,-43.8571,-0.3611313999,0.103692919,-0.1290834248,0.9176978588
22 46 47.9,-5 30 45.6,2619.06071144324,-4719.59458444699,-4708.48423852233,-3.61525212958972,3.48414015285605,-5.50945748871472,2017-10-11T08:33:55.054,-43.86176,-0.3612172604,0.1033451259,-0.1296530068,0.9176230019
22 46 37.0,-5 27 1.2,2185.20265771419,-4285.35344063164,-5306.21114997972,-3.91539662826159,4.04559632756534,-4.88442454749485,2017-10-11T08:35:50.054,-43.86636,-0.3613029122,0.1029972881,-0.1302225143,0.9175477432
22 46 25.9,-5 23 15.9,1720.09744121594,-3789.83331281097,-5827.86510530816,-4.15964480912611,4.54958186751126,-4.18899900388019,2017-10-11T08:37:45.054,-43.87092,-0.3613884151,0.1026493981,-0.130791977,0.9174720558
22 42 1.6,-7 31 25.6,309.795274285022,1350.19377925484,7016.5079171302,4.53358933216889,-5.85203355535311,0.93215212865329,2017-10-11T11:16:02.054,-42.23223,-0.3439346254,0.1211711615,-0.1342838109,0.921408911
22 42 16.1,-7 31 25.8,872.185072725475,609.248882096129,7073.03479350864,4.45362589473572,-5.98535918364637,-0.0257043154366935,2017-10-11T11:18:07.054,-42.22405,-0.3439339995,0.1209787503,-0.1337864101,0.9215067783
22 42 30.8,-7 31 24.2,1419.82523337593,-142.000359186216,7009.63978970912,4.29846813155439,-6.01739457760496,-0.982591039216767,2017-10-11T11:20:12.054,-42.21586,-0.3439332545,0.1207863092,-0.1332889646,0.9216043814
22 42 46.1,-7 31 29.3,1943.45892386389,-890.849493815698,6827.42121520814,4.0705931816363,-5.9477971653045,-1.92351278277673,2017-10-11T11:22:17.054,-42.20768,-0.3439324498,0.1205938309,-0.1327914894,0.921701697
22 43 37.6,-7 23 55.4,3687.0102966533,-3721.05774857538,4879.58086601337,2.43764407403771,-4.61153448442713,-5.33274018407473,2017-10-11T11:31:00.055,-42.12616,-0.3437033892,0.1188143268,-0.1315762699,0.9221923992
22 43 44.8,-7 19 22.3,3939.6704082012,-4222.89763991919,4232.1692252745,1.9614696787916,-4.11583041165642,-5.90390152484505,2017-10-11T11:32:55.054,-42.12257,-0.3438228667,0.1181123406,-0.1315855682,0.9222367102
22 43 52.3,-7 14 48.3,4135.87646633121,-4664.223602393,3523.94575338908,1.45710477582853,-3.56108694283491,-6.39030713871983,2017-10-11T11:34:50.054,-42.11901,-0.3439421952,0.1174102873,-0.131594792,0.9222805438
22 43 59.0,-7 10 9.3,4272.798500829,-5038.6883638905,2765.07809072783,0.931608083886341,-2.95510884111895,-6.78505530272517,2017-10-11T11:36:45.054,-42.11549,-0.3440613151,0.1167081818,-0.1316039413,0.9223239205
22 44 9.2,-6 29 15.2,3544.10147759583,-5492.21115208309,-2931.38289865378,-2.64980842301672,1.86596589869187,-6.71483797777002,2017-10-11T11:50:00.054,-43.12519,-0.3532564342,0.1122982726,-0.1324756593,0.9192655707
22 43 59.4,-6 23 59.7,3214.33882112619,-5237.94939401649,-3680.36471865792,-3.07170901335784,2.53545753438648,-6.30197925022501,2017-10-11T11:51:55.054,-43.13023,-0.3533858359,0.1117466465,-0.1331012398,0.9191926882
22 43 48.6,-6 18 45.1,2838.55311842353,-4908.68931632579,-4376.51754931645,-3.4498050595075,3.16948813750127,-5.79890347873,2017-10-11T11:53:50.054,-43.13521,-0.3535149992,0.111194931,-0.1337267458,0.9191191382
22 43 37.9,-6 13 30.5,2422.14422391258,-4509.18287076816,-5009.87869213596,-3.778031301491,3.75647202770453,-5.2128721856554,2017-10-11T11:55:45.054,-43.14012,-0.3536438942,0.110643141,-0.1343521476,0.9190449346
22 39 42.0,-8 03 9.2,-368.822725998309,2201.15105847171,6794.21828625221,4.53518403635676,-5.55643688701277,2.05894055447495,2017-10-11T12:54:00.055,-41.96897,-0.3403373063,0.1268235296,-0.1375422776,0.9215033544
22 39 56.9,-8 04 45.9,154.113354234525,1547.52636303988,6980.69360147117,4.54894928981999,-5.7913110469996,1.19682371800486,2017-10-11T12:55:55.055,-41.96024,-0.3402922153,0.12684533,-0.1369539201,0.9216046301
